Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
03/01/1994;  6.432,85;          1,01672333;       1,0167233300000000;
04/01/1994;  6.389,83;          1,01669667;       1,0336992239223111;
05/01/1994;  6.384,46;          1,01669333;       1,0509551061879901;
06/01/1994;  6.384,46;          1,01669333;       1,0684990465907713;
07/01/1994;  6.384,46;          1,01669333;       1,0863358537801964;
10/01/1994;  6.379,11;          1,01669000;       1,1044667991797879;
11/01/1994;  6.384,46;          1,01669333;       1,1229040279325398;
12/01/1994;  6.384,46;          1,01669333;       1,1416490354291469;
13/01/1994;  6.389,83;          1,01669667;       1,1607107726295257;
14/01/1994;  6.395,19;          1,01670000;       1,1800946425324388;
17/01/1994;  6.395,19;          1,01670000;       1,1998022230627305;
18/01/1994;  6.400,55;          1,01670333;       1,2198429155292809;
19/01/1994;  7.492,53;          1,01733000;       1,2409827932554033;
20/01/1994;  7.492,53;          1,01733000;       1,2624890250625195;
21/01/1994;  7.492,53;          1,01733000;       1,2843679598668529;
24/01/1994;  7.492,53;          1,01733000;       1,3066260566113455;
25/01/1994;  7.492,53;          1,01733000;       1,3292698861724201;
26/01/1994;  8.855,34;          1,01799667;       1,3531923176548027;
27/01/1994;  8.855,34;          1,01799667;       1,3775452732421714;
28/01/1994;  8.862,72;          1,01800000;       1,4023410881605305;
31/01/1994;  8.862,72;          1,01800000;       1,4275832277474200;
01/02/1994; 14.853,88;          1,02007000;       1,4562348231283107;
02/02/1994; 14.866,18;          1,02007333;       1,4854663052904570;
03/02/1994; 14.841,58;          1,02006667;       1,5152746674348398;
04/02/1994; 14.841,58;          1,02006667;       1,5456811841456145;
07/02/1994; 14.238,81;          1,01990000;       1,5764402397101122;
08/02/1994; 14.215,20;          1,01989333;       1,6078008856239446;
09/02/1994; 14.203,43;          1,01989000;       1,6397800452390048;
10/02/1994; 14.179,87;          1,01988333;       1,6723843330059069;
11/02/1994; 13.424,27;          1,01966333;       1,7052689780326319;
16/02/1994; 13.424,27;          1,01966333;       1,7388002446864503;
17/02/1994; 13.424,27;          1,01966333;       1,7729908477018008;
18/02/1994; 13.402,03;          1,01965667;       1,8078419437080953;
21/02/1994; 13.402,03;          1,01965667;       1,8433780962077239;
22/02/1994; 13.435,44;          1,01966667;       1,8796312049110695;
23/02/1994; 11.550,33;          1,01906000;       1,9154569756766745;
24/02/1994; 11.550,33;          1,01906000;       1,9519655856330719;
25/02/1994; 11.531,13;          1,01905333;       1,9891570300847821;
28/02/1994; 11.521,56;          1,01905000;       2,0270504715078972;
01/03/1994;  5.791,74;          1,01630667;       2,0601049146201208;
02/03/1994;  5.786,86;          1,01630333;       2,0936914848777945;
03/03/1994;  5.786,86;          1,01630333;       2,1278256280739472;
04/03/1994;  5.791,74;          1,01630667;       2,1625233784084918;
07/03/1994;  5.791,74;          1,01630667;       2,1977869335074842;
08/03/1994;  6.416,68;          1,01671333;       2,2345192717968828;
09/03/1994;  6.596,79;          1,01682333;       2,2721113268976815;
10/03/1994;  6.613,40;          1,01683333;       2,3103585266600880;
11/03/1994;  6.618,96;          1,01683667;       2,3492572707551501;
14/03/1994;  6.770,50;          1,01692667;       2,3890223733223232;
15/03/1994;  6.781,85;          1,01693333;       2,4294764775471733;
16/03/1994;  6.781,85;          1,01693333;       2,4706156044687172;
17/03/1994;  6.776,18;          1,01693000;       2,5124431266523726;
18/03/1994;  7.233,73;          1,01719000;       2,5556320239995268;
